Susan,Tolan,214-550-9655,"1085 Poco Mas Drive"
Homer,Green,817-300-0920,"275 Oliver Street"
Brenda,Ramirez,715-358-8852,"2121 Abner Road"
Lucy,Keller,660-233-8630,"4562 Fairmont Avenue"
Franklyn,Hernandez,507-303-4624,"3257 Rosewood Court"
William,Patnode,510-339-0017,"1096 Wayside Lane"
Judith,Johnson,540-933-5788,"3590 Brooklyn Street"
Lyle,Brown,920-467-9309,"2572 Sycamore Lake Road"
Kevin,Knott,703-247-9586,"3130 Lawman Avenue"
Paul,Dixon,212-500-9159,"1292 Godfrey Road"
Marcia,Robledo,985-318-3297,"4174 Bassel Street"
Adam,White,541-521-0225,"3328 Haymond Rocks Road"
Virginia,Stapleton,662-862-0654,"1985 Tanglewood Road"
Alice,Bloom,231-537-0102,"1546 Twin Oaks Drive"
Mildred,Jones,320-432-4192,"2051 Brighton Circle Road"
Joan,Vance,814-774-6523,"2236 Spadafore Drive"
Ricky,Wilson,201-988-9750,"1303 Northwest Boulevard"
Anthony,Sigmon,804-446-4496,"2823 Melody Lane"
Frances,Ross,724-774-9568,"1607 Platinum Drive"
Michael,Romero,562-467-6189,"279 Locust Court"
Gordon,Vidrine,318-719-3452,"4856 Emerson Road"
Williams,Harrison,231-592-7244,"4667 Rubaiyat Road"
David,Evans,850-345-5897,"389 Star Trek Drive"
Guadalupe,Ball,310-269-8474,"2707 Libby Street"
Patricia,Vidal,405-278-0239,"3375 Ottis Street"
Jerry,Smith,904-346-2025,"1760 Cherry Tree Drive"
Carlos,Furr,985-857-0453,"3928 Wood Street"
Janette,Burnett,423-534-4327,"675 Corbin Branch Road"
Joseph,Lee,704-759-5822,"60 Harry Place"
Larry,Shimizu,619-313-0282,"572 Ashcraft Court"
Ann,Wilkinson,808-693-0277,"3012 Indiana Avenue"
Larry,Belle,509-786-2994,"4742 Sun Valley Road"
Tony,Pierson,323-490-4940,"1450 Red Maple Drive"
David,Alvarez,260-527-2699,"479 Windy Ridge Road"
